mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
17.613753652572633,0.09831589566001261,0.1594392776489258,0.0028232099176075296,12,4,3,13,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 750}",0.916354556803995,0.9176029962546817,0.91375,0.91625,0.91625,0.91625,0.92125,0.91625,0.9123904881101377,0.9136420525657072,0.916,0.0023267774544398494,1685
23.520425605773926,0.106588892594403,0.21540613174438478,0.014945437282430085,12,4,3,13,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 1000}",0.9151061173533084,0.916354556803995,0.91375,0.91875,0.91375,0.91625,0.92,0.91375,0.9111389236545682,0.9148936170212766,0.915375,0.0024628280793179396,1731
5.872880125045777,0.041880298656496555,0.05592186450958252,0.0016997783286756055,12,4,3,16,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 16, 'n_estimators': 250}",0.9126092384519351,0.9138576779026217,0.91625,0.915,0.915,0.91625,0.9225,0.915,0.9136420525657072,0.9111389236545682,0.915125,0.00288061032108454,1755
11.708184337615966,0.07013067883360045,0.10841200351715088,0.005900619155570538,12,4,3,16,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 16, 'n_estimators': 500}",0.9126092384519351,0.9176029962546817,0.9125,0.91625,0.915,0.91625,0.92,0.915,0.9123904881101377,0.9123904881101377,0.915,0.002459350019219558,1770
17.59743058681488,0.05830234038463219,0.15936429500579835,0.004394411811495392,12,4,3,16,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 16, 'n_estimators': 750}",0.9138576779026217,0.916354556803995,0.9125,0.91625,0.91625,0.915,0.92125,0.915,0.9123904881101377,0.9123904881101377,0.915125,0.0025500388093164833,1755
23.481004619598387,0.1683584824306046,0.20979297161102295,0.0063563202351032844,12,4,3,16,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 16, 'n_estimators': 1000}",0.9126092384519351,0.916354556803995,0.9125,0.9175,0.915,0.91625,0.9225,0.915,0.9111389236545682,0.9123904881101377,0.915125,0.0031528807326177727,1755
5.815360832214355,0.057903792559311856,0.056870651245117185,0.003598353044884483,12,4,4,4,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 250}",0.9138576779026217,0.9188514357053683,0.90875,0.91625,0.91625,0.91625,0.91875,0.91875,0.9111389236545682,0.9136420525657072,0.91525,0.003227067115858212,1743
11.697901821136474,0.0642737093238878,0.11195039749145508,0.00382020480912624,12,4,4,4,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 500}",0.9176029962546817,0.9176029962546817,0.915,0.91625,0.91375,0.91875,0.92,0.915,0.9123904881101377,0.9111389236545682,0.91575,0.002679942797851361,1708
17.518389868736268,0.11609900901156207,0.15871541500091552,0.0038208934694098913,12,4,4,4,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 750}",0.9151061173533084,0.9176029962546817,0.91375,0.91625,0.91375,0.9175,0.9225,0.915,0.9123904881101377,0.9123904881101377,0.915625,0.002892726476586761,1719
23.282533240318298,0.09399822207378061,0.21386430263519288,0.0060805640601459725,12,4,4,4,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 1000}",0.9151061173533084,0.916354556803995,0.91375,0.91625,0.91375,0.91625,0.92,0.91375,0.9136420525657072,0.9136420525657072,0.91525,0.0019421463654865768,1743
5.8415752172470095,0.04944434237637802,0.05598092079162598,0.0026665937719880122,12,4,4,7,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 250}",0.9176029962546817,0.9176029962546817,0.915,0.9175,0.91375,0.9175,0.9225,0.91875,0.9123904881101377,0.9173967459324155,0.917,0.0026548327426826964,1585
11.653467631340027,0.0712604499649937,0.10883793830871583,0.0030753121300768284,12,4,4,7,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 500}",0.916354556803995,0.9176029962546817,0.91,0.915,0.91125,0.9175,0.92125,0.91625,0.9123904881101377,0.9123904881101377,0.915,0.0032887802811998484,1770
17.469904899597168,0.13712651158355868,0.16326229572296141,0.007452061079601048,12,4,4,7,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 750}",0.916354556803995,0.916354556803995,0.91375,0.91625,0.91625,0.9175,0.92125,0.915,0.9123904881101377,0.9136420525657072,0.915875,0.002337963684524417,1696
23.286707830429076,0.12687824469626544,0.21269092559814454,0.005313166073353769,12,4,4,7,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 1000}",0.9138576779026217,0.9176029962546817,0.915,0.9175,0.91375,0.9175,0.92125,0.91625,0.9123904881101377,0.9136420525657072,0.915875,0.0025251652709942334,1696
5.834554553031921,0.026219458212527854,0.05666139125823975,0.0030949158647733933,12,4,4,10,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 250}",0.916354556803995,0.916354556803995,0.9125,0.91625,0.91375,0.915,0.91875,0.915,0.9148936170212766,0.9136420525657072,0.91525,0.0016834415561606342,1743
11.668615031242371,0.06657487999382986,0.11316540241241455,0.007837055316640926,12,4,4,10,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",0.916354556803995,0.9176029962546817,0.91375,0.9175,0.915,0.91625,0.92,0.91375,0.9123904881101377,0.9136420525657072,0.915625,0.0022202518601477663,1719
17.46862950325012,0.07155243022326738,0.161545991897583,0.007688615966089345,12,4,4,10,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 750}",0.916354556803995,0.9188514357053683,0.9125,0.9175,0.91125,0.91625,0.9225,0.915,0.9123904881101377,0.9111389236545682,0.915375,0.0034835080396673416,1731
