Estimator,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Depth 11,Depth 12
77,"('P0_dais.slr_brick', 0.2617005258798599)","('S.temperature', 3.704042673110962)","('slope_dais.slr_brick', 0.0006390679918695241)","('beta0_gsic.slr_brick', 0.0007751674856990576)","('b_anto.slr_brick', 1.6139113306999207)","('a_tee.slr_brick', 0.1023627445101738)","('offset.Tgav_obs', 0.019395193085074425)","('a_anto.slr_brick', 0.21192853152751923)","('a_anto.slr_brick', 0.8377178013324738)","('V0_simple.slr_brick', 7.289482831954956)","('nu_dais.slr_brick', 0.012946872040629387)","('S.temperature', 3.9129027128219604)",
78,"('diff.temperature', 1.6292991042137146)","('rho.slr_gis_obs', 0.9630275368690491)","('alpha.temperature', 0.9844864308834076)","('a_tee.slr_brick', 0.09519615396857262)",,,,,,,,,
79,"('beta0_gsic.slr_brick', 0.0007355312700383365)","('a_anto.slr_brick', 0.5677645206451416)","('alpha.temperature', 0.7912620902061462)","('beta0_gsic.slr_brick', 0.001300906646065414)","('b_simple.slr_brick', 7.782193183898926)","('a_tee.slr_brick', 0.10031158104538918)","('alpha.temperature', 1.0682891607284546)","('V0_gsic.slr_brick', 0.32127879559993744)","('S.temperature', 5.777767896652222)",,,,
80,"('beta0_gsic.slr_brick', 0.0008553378866054118)","('slope_dais.slr_brick', 0.0006261865783017129)","('a_simple.slr_brick', -1.3708012104034424)",,,,,,,,,,
81,"('alpha.temperature', 0.8128992319107056)","('alpha.temperature', 0.9903154373168945)","('S.temperature', 3.0528644323349)","('slope_dais.slr_brick', 0.0005890366446692497)","('b_anto.slr_brick', 1.734192967414856)","('alpha.temperature', 1.264625370502472)","('f0_dais.slr_brick', 1.2589560151100159)","('rho.Tgav_obs', 0.30236653983592987)","('a_simple.slr_brick', -1.3679990768432617)","('b_simple.slr_brick', 8.456560611724854)","('a_tee.slr_brick', 0.10546719282865524)",,
82,"('P0_dais.slr_brick', 0.304047167301178)","('alpha_simple.slr_brick', 0.00034891252289526165)","('P0_dais.slr_brick', 0.24601953476667404)","('diff.temperature', 1.735245704650879)","('rho.Tgav_obs', 0.5400224328041077)","('alpha_dais.slr_brick', 0.707735687494278)","('alpha.temperature', 1.02127206325531)","('a_tee.slr_brick', 0.14162392914295197)",,,,,
83,"('diff.temperature', 1.342934489250183)","('P0_dais.slr_brick', 0.28597965836524963)","('sigma.Tgav_obs', 0.07052002474665642)","('alpha_simple.slr_brick', 0.00034891252289526165)","('P0_dais.slr_brick', 0.12352869659662247)","('alpha_simple.slr_brick', 0.0005664812924806029)","('rho.Tgav_obs', 0.48029379546642303)","('S.temperature', 4.154815196990967)","('kappa_dais.slr_brick', 0.06303102523088455)",,,,
84,"('diff.temperature', 1.184680461883545)","('S.temperature', 2.8723984956741333)",,,,,,,,,,,
85,"('P0_dais.slr_brick', 0.24538730084896088)","('beta0_gsic.slr_brick', 0.0008566102478653193)","('alpha_dais.slr_brick', 0.7053629159927368)","('S.temperature', 3.632320284843445)","('diff.temperature', 3.8293755054473877)","('slope_dais.slr_brick', 0.0006257554632611573)","('Tcrit_dais.slr_brick', -15.804951190948486)","('a_simple.slr_brick', -1.4107171297073364)","('lambda_dais.slr_brick', 0.007877632975578308)","('alpha_simple.slr_brick', 0.00029272846586536616)",,,
86,"('a_tee.slr_brick', 0.09364142641425133)","('diff.temperature', 2.579015851020813)","('a_anto.slr_brick', 0.7122079730033875)","('alpha.temperature', 0.864408552646637)","('S.temperature', 2.8292325735092163)",,,,,,,,
87,"('beta0_gsic.slr_brick', 0.0008822613162919879)","('S.temperature', 2.729220151901245)","('Tcrit_dais.slr_brick', -15.564612865447998)","('gamma_dais.slr_brick', 1.256879210472107)","('slope_dais.slr_brick', 0.0006663375534117222)",,,,,,,,
88,"('beta0_gsic.slr_brick', 0.0009341583936475217)","('diff.temperature', 1.7701762318611145)","('beta0_gsic.slr_brick', 0.0007054922170937061)","('rho.Tgav_obs', 0.38049694895744324)","('alpha.temperature', 1.1658920645713806)",,,,,,,,
89,"('alpha.temperature', 0.9097038805484772)","('slope_dais.slr_brick', 0.0005687450466211885)","('alpha_simple.slr_brick', 0.0006847829790785909)","('a_tee.slr_brick', 0.0991298258304596)","('S.temperature', 5.4567670822143555)","('b_simple.slr_brick', 7.742070436477661)","('b_simple.slr_brick', 7.914045095443726)","('alpha_dais.slr_brick', 0.5432807505130768)","('Tcrit_dais.slr_brick', -15.830505847930908)",,,,
90,"('h0_dais.slr_brick', 1462.6477661132812)","('alpha.temperature', 0.9807587563991547)","('a_tee.slr_brick', 0.0833405964076519)","('a_anto.slr_brick', 0.5129915177822113)","('nu_dais.slr_brick', 0.004980747122317553)",,,,,,,,
91,"('a_tee.slr_brick', 0.09925581514835358)","('rho.Tgav_obs', 0.5871996879577637)","('beta0_gsic.slr_brick', 0.0009100233728531748)","('b0_dais.slr_brick', 774.7318725585938)",,,,,,,,,
92,"('S.temperature', 3.199844241142273)","('beta0_gsic.slr_brick', 0.0009192510915454477)","('b_anto.slr_brick', 1.0588653087615967)","('alpha_simple.slr_brick', 0.0004631519259419292)",,,,,,,,,
93,"('S.temperature', 3.247660517692566)","('slope_dais.slr_brick', 0.0005692174891009927)",,,,,,,,,,,
94,"('a_simple.slr_brick', -0.8668272793292999)","('alpha.temperature', 0.8138110339641571)","('b_simple.slr_brick', 7.429383277893066)","('a_tee.slr_brick', 0.08443929255008698)","('diff.temperature', 1.6410271525382996)","('a_tee.slr_brick', 0.1376359909772873)","('rho.Tgav_obs', 0.4521634876728058)","('alpha.temperature', 0.9906655848026276)","('alpha_simple.slr_brick', 0.0006669468129985034)","('alpha.temperature', 0.992171049118042)","('a_tee.slr_brick', 0.11539580672979355)","('V0_simple.slr_brick', 7.228210926055908)","('Tcrit_dais.slr_brick', -15.66951322555542)"
95,"('S.temperature', 2.8117083311080933)","('alpha.temperature', 1.147422194480896)","('f0_dais.slr_brick', 0.8553557395935059)","('nu_dais.slr_brick', 0.0072127836756408215)","('sigma.Tgav_obs', 0.07545487955212593)",,,,,,,,
96,"('a_tee.slr_brick', 0.08444395288825035)","('S.temperature', 3.201324224472046)","('beta0_gsic.slr_brick', 0.0007540375227108598)","('a_anto.slr_brick', 0.4858460873365402)","('P0_dais.slr_brick', 0.21946728974580765)",,,,,,,,
97,"('sigma.slr_gsic_obs', 0.0002322013460798189)","('P0_dais.slr_brick', 0.6468136310577393)","('a_anto.slr_brick', 0.6878767609596252)","('diff.temperature', 1.82080078125)","('a_tee.slr_brick', 0.15173660963773727)","('beta0_gsic.slr_brick', 0.0007836636796128005)","('f0_dais.slr_brick', 1.1652190685272217)","('a_anto.slr_brick', 0.48859572410583496)","('S.temperature', 5.3476479053497314)",,,,
98,"('h0_dais.slr_brick', 1678.7175903320312)","('beta0_gsic.slr_brick', 0.0009207252005580813)","('alpha_dais.slr_brick', 0.06451865658164024)","('S.temperature', 3.297816038131714)","('n_gsic.slr_brick', 0.5789556205272675)","('a_anto.slr_brick', 0.5051736235618591)","('S.temperature', 3.349639654159546)",,,,,,
99,"('alpha.temperature', 0.9844066500663757)","('Tcrit_dais.slr_brick', -15.64054012298584)","('a_tee.slr_brick', 0.10933366417884827)","('beta0_gsic.slr_brick', 0.0008290050027426332)",,,,,,,,,
100,"('beta0_gsic.slr_brick', 0.0008495451183989644)","('b_simple.slr_brick', 7.466153383255005)","('slope_dais.slr_brick', 0.0006268236902542412)","('kappa_dais.slr_brick', 0.08450839668512344)","('S.temperature', 3.358280897140503)",,,,,,,,
101,"('beta0_gsic.slr_brick', 0.0008846987620927393)","('n_gsic.slr_brick', 0.7143923938274384)","('alpha.temperature', 1.1450687050819397)","('mu_dais.slr_brick', 10.736596584320068)","('alpha_dais.slr_brick', 0.16007257997989655)","('nu_dais.slr_brick', 0.01303281681612134)",,,,,,,
102,"('slope_dais.slr_brick', 0.0005985540919937193)","('S.temperature', 3.6588902473449707)","('rho.slr_gis_obs', 0.9368703067302704)","('offset.Tgav_obs', -0.030722605995833874)","('sigma.slr_gis_obs', 0.00020925106218783185)","('a_tee.slr_brick', 0.09984752535820007)","('a_anto.slr_brick', 0.08719444647431374)","('V0_gsic.slr_brick', 0.32551275193691254)",,,,,
103,"('alpha.temperature', 0.8804013133049011)","('b_simple.slr_brick', 7.5695884227752686)","('gamma_dais.slr_brick', 0.5690417885780334)","('a_anto.slr_brick', 0.48876458406448364)","('mu_dais.slr_brick', 7.743732452392578)","('beta0_gsic.slr_brick', 0.0007392998377326876)","('rho.slr_gsic_obs', 0.26152952015399933)",,,,,,
104,"('b_simple.slr_brick', 7.425884246826172)","('beta0_gsic.slr_brick', 0.000807847100077197)","('alpha.temperature', 1.0990437269210815)",,,,,,,,,,
105,"('slope_dais.slr_brick', 0.0005985788011457771)","('b_simple.slr_brick', 7.8279290199279785)","('S.temperature', 3.25713312625885)","('alpha.temperature', 1.1691087484359741)",,,,,,,,,
106,"('nu_dais.slr_brick', 0.003239552490413189)","('alpha.temperature', 1.002127766609192)","('a_simple.slr_brick', -1.149645745754242)","('n_gsic.slr_brick', 0.8814380764961243)","('alpha_dais.slr_brick', 0.06525200605392456)","('b_simple.slr_brick', 7.597206115722656)","('f0_dais.slr_brick', 0.8247086703777313)","('a_simple.slr_brick', -0.8046087920665741)","('alpha_simple.slr_brick', 0.0005517717218026519)",,,,
107,"('alpha.temperature', 1.0010305047035217)","('beta0_gsic.slr_brick', 0.0008078385726548731)","('a_anto.slr_brick', 0.026124024763703346)","('mu_dais.slr_brick', 13.413724899291992)","('b_simple.slr_brick', 7.686359882354736)","('S.temperature', 6.033611536026001)","('f0_dais.slr_brick', 1.4958040118217468)","('alpha.temperature', 1.237142562866211)",,,,,
108,"('a_tee.slr_brick', 0.10462048649787903)","('diff.temperature', 1.772988498210907)","('a_anto.slr_brick', 0.2856052368879318)","('S.temperature', 2.914670944213867)","('V0_simple.slr_brick', 7.193952322006226)","('P0_dais.slr_brick', 0.2549446374177933)","('V0_simple.slr_brick', 7.336196660995483)","('sigma.slr_gsic_obs', 2.701994526432827e-05)","('Gs0_gsic.slr_brick', -0.0004440604825504124)","('kappa_dais.slr_brick', 0.02994869276881218)","('b0_dais.slr_brick', 806.6953735351562)",,
109,"('alpha.temperature', 0.8082333207130432)","('b_simple.slr_brick', 7.645714044570923)","('a_tee.slr_brick', 0.08676811307668686)","('a_anto.slr_brick', 0.2440384104847908)",,,,,,,,,
110,"('diff.temperature', 1.6561397910118103)","('alpha.temperature', 0.9877718091011047)","('rho.Tgav_obs', 0.3808426856994629)","('a_tee.slr_brick', 0.08439486473798752)","('b_simple.slr_brick', 7.576707363128662)","('sigma.slr_gsic_obs', 1.3576706351159373e-05)","('slope_dais.slr_brick', 0.0005464419955387712)","('offset.Tgav_obs', -0.00938790338113904)","('h0_dais.slr_brick', 975.5682983398438)","('offset.Tgav_obs', -0.05029764398932457)","('alpha_simple.slr_brick', 0.0002631746610859409)",,
111,"('alpha.temperature', 0.808196097612381)","('alpha.temperature', 1.1598374247550964)","('slope_dais.slr_brick', 0.0005684217030648142)","('a_tee.slr_brick', 0.25058750063180923)","('a_tee.slr_brick', 0.10086321085691452)","('alpha.temperature', 1.145565152168274)","('beta0_gsic.slr_brick', 0.0008540638955309987)","('c_dais.slr_brick', 92.79630661010742)","('kappa_dais.slr_brick', 0.043972885236144066)","('f0_dais.slr_brick', 1.3945403099060059)",,,
112,"('alpha.temperature', 0.9844066500663757)","('beta0_gsic.slr_brick', 0.0007295398972928524)","('f0_dais.slr_brick', 1.2922370433807373)","('nu_dais.slr_brick', 0.004761799005791545)",,,,,,,,,
113,"('beta0_gsic.slr_brick', 0.0007294358219951391)","('beta0_gsic.slr_brick', 0.000879696337506175)","('P0_dais.slr_brick', 0.2255416139960289)","('diff.temperature', 3.477335810661316)","('beta_simple.slr_brick', 0.00015459960559383035)","('slope_dais.slr_brick', 0.0005798112833872437)","('a_tee.slr_brick', 0.08362577855587006)",,,,,,
114,"('a_tee.slr_brick', 0.08444395288825035)","('a_simple.slr_brick', -0.7180851995944977)","('slope_dais.slr_brick', 0.0005890061729587615)","('Tcrit_dais.slr_brick', -14.428361892700195)","('beta0_gsic.slr_brick', 0.0008540638955309987)","('alpha.temperature', 0.7288309037685394)","('n_gsic.slr_brick', 0.7010587155818939)","('a_simple.slr_brick', -1.89096999168396)","('Tcrit_dais.slr_brick', -15.540561199188232)",,,,
115,"('alpha.temperature', 0.8082126080989838)","('nu_dais.slr_brick', 0.00973509019240737)","('a_tee.slr_brick', 0.09914029389619827)","('b_simple.slr_brick', 7.808316946029663)","('P0_dais.slr_brick', 0.17341870814561844)",,,,,,,,
116,"('b_simple.slr_brick', 7.429383277893066)","('beta0_gsic.slr_brick', 0.0009719751833472401)","('alpha.temperature', 0.8757320642471313)","('a_anto.slr_brick', 0.6633937358856201)","('alpha.temperature', 1.1674121022224426)","('a_tee.slr_brick', 0.12063311412930489)","('gamma_dais.slr_brick', 1.3433497548103333)","('P0_dais.slr_brick', 0.501671701669693)","('kappa_dais.slr_brick', 0.08484166860580444)","('b0_dais.slr_brick', 806.8923645019531)","('kappa_dais.slr_brick', 0.06928602606058121)","('gamma_dais.slr_brick', 2.089437961578369)",
117,"('alpha.temperature', 0.8081753849983215)","('mu_dais.slr_brick', 12.11369800567627)","('S.temperature', 4.0280983448028564)","('P0_dais.slr_brick', 0.26309749484062195)","('n_gsic.slr_brick', 0.86550372838974)","('V0_gsic.slr_brick', 0.31530001759529114)","('beta_simple.slr_brick', 6.533848500112072e-05)","('alpha_simple.slr_brick', 0.00039259639743249863)","('rho.slr_gis_obs', 0.8970149755477905)","('slope_dais.slr_brick', 0.0005513025098480284)","('beta_simple.slr_brick', 1.0501527867745608e-05)",,
118,"('beta0_gsic.slr_brick', 0.000807812117272988)","('alpha.temperature', 0.9860125780105591)","('rho.slr_gsic_obs', 0.9854239225387573)","('slope_dais.slr_brick', 0.0006179730407893658)","('f0_dais.slr_brick', 1.210292935371399)","('a_tee.slr_brick', 0.13155873119831085)",,,,,,,
119,"('Tcrit_dais.slr_brick', -16.198111534118652)","('P0_dais.slr_brick', 0.2591736167669296)","('alpha.temperature', 0.990311324596405)","('beta0_gsic.slr_brick', 0.0013216855004429817)","('alpha_simple.slr_brick', 0.0001992871766560711)","('gamma_dais.slr_brick', 3.8480182886123657)","('lambda_dais.slr_brick', 0.01590273343026638)",,,,,,
120,"('a_tee.slr_brick', 0.08755643665790558)","('b_simple.slr_brick', 7.963939905166626)","('a_anto.slr_brick', 0.3552876263856888)","('slope_dais.slr_brick', 0.0006155621958896518)","('beta0_gsic.slr_brick', 0.0009066007914952934)","('P0_dais.slr_brick', 0.7044117152690887)",,,,,,,
121,"('b_simple.slr_brick', 7.544375658035278)","('S.temperature', 2.8117083311080933)","('slope_dais.slr_brick', 0.0005624876939691603)","('beta0_gsic.slr_brick', 0.0008636330021545291)","('a_tee.slr_brick', 0.10556190460920334)",,,,,,,,
122,"('beta0_gsic.slr_brick', 0.0007294352981261909)","('nu_dais.slr_brick', 0.0059849906247109175)","('alpha_dais.slr_brick', 0.7049688398838043)","('S.temperature', 3.25713312625885)","('P0_dais.slr_brick', 0.21954252570867538)","('b0_dais.slr_brick', 804.0641479492188)","('rho.slr_gis_obs', 0.9365906119346619)","('a_simple.slr_brick', -2.8227459192276)",,,,,
123,"('slope_dais.slr_brick', 0.0005687417869921774)","('mu_dais.slr_brick', 11.326658248901367)","('alpha_dais.slr_brick', 0.06673597171902657)",,,,,,,,,,
124,"('alpha.temperature', 0.8082126080989838)","('beta0_gsic.slr_brick', 0.000892432959517464)","('n_gsic.slr_brick', 0.8105826079845428)","('a_simple.slr_brick', -3.331251382827759)","('a_simple.slr_brick', -0.797834724187851)","('a_tee.slr_brick', 0.0943213477730751)","('lambda_dais.slr_brick', 0.012457593809813261)","('rho.Tgav_obs', 0.3250732272863388)","('S.temperature', 4.306604385375977)","('c_dais.slr_brick', 85.80005264282227)",,,
125,"('a_anto.slr_brick', 0.49453379213809967)","('P0_dais.slr_brick', 0.328451469540596)","('a_tee.slr_brick', 0.1764046475291252)","('nu_dais.slr_brick', 0.014457513112574816)","('a_anto.slr_brick', 0.7745241820812225)","('mu_dais.slr_brick', 11.79184865951538)","('Tcrit_dais.slr_brick', -14.853750228881836)",,,,,,
126,"('slope_dais.slr_brick', 0.0005625073390547186)","('offset.Tgav_obs', -0.02196459099650383)","('beta0_gsic.slr_brick', 0.0008565098978579044)","('alpha.temperature', 0.7612062394618988)","('b_simple.slr_brick', 7.895720720291138)","('mu_dais.slr_brick', 7.2339019775390625)","('P0_dais.slr_brick', 0.758842796087265)","('rho.Tgav_obs', 0.37824399769306183)","('alpha_simple.slr_brick', 0.0007064586679916829)","('h0_dais.slr_brick', 1106.8576049804688)","('Gs0_gsic.slr_brick', 0.0008426082204096019)","('b_simple.slr_brick', 8.231569766998291)","('gamma_dais.slr_brick', 1.8438807725906372)"
127,"('alpha.temperature', 0.9807712137699127)","('slope_dais.slr_brick', 0.0005686544755008072)","('alpha.temperature', 1.1920852661132812)","('b0_dais.slr_brick', 741.9381103515625)","('a_anto.slr_brick', 0.09239108115434647)","('rho.slr_gis_obs', 0.9898910224437714)","('Tcrit_dais.slr_brick', -15.550427913665771)","('Tcrit_dais.slr_brick', -15.050012111663818)",,,,,
128,"('diff.temperature', 0.92525914311409)","('S.temperature', 2.873642683029175)","('alpha.temperature', 1.1599280834197998)","('a_tee.slr_brick', 0.09704231470823288)","('a_simple.slr_brick', -2.844113826751709)","('mu_dais.slr_brick', 12.933979511260986)","('diff.temperature', 3.829588532447815)","('lambda_dais.slr_brick', 0.006893688580021262)","('rho.slr_gis_obs', 0.9434894621372223)","('V0_gsic.slr_brick', 0.36615005135536194)",,,
129,"('beta0_gsic.slr_brick', 0.0007294587267097086)","('n_gsic.slr_brick', 0.5574339628219604)","('nu_dais.slr_brick', 0.014850412495434284)","('beta_simple.slr_brick', 1.5699659343226813e-05)","('S.temperature', 2.956559896469116)","('alpha_simple.slr_brick', 0.0005566361651290208)","('a_tee.slr_brick', 0.12065809220075607)",,,,,,
130,"('a_anto.slr_brick', 0.2698802649974823)","('beta0_gsic.slr_brick', 0.0008656113059259951)","('b_simple.slr_brick', 7.892834663391113)","('f0_dais.slr_brick', 0.715074211359024)","('mu_dais.slr_brick', 8.834738731384277)","('c_dais.slr_brick', 124.33153533935547)","('Gs0_gsic.slr_brick', -0.002938399324193597)","('n_gsic.slr_brick', 0.6819803416728973)","('sigma.Tgav_obs', 0.08161507919430733)","('mu_dais.slr_brick', 10.054501056671143)","('sigma.slr_gis_obs', 0.00023489756131311879)","('beta_simple.slr_brick', 7.098428613971919e-05)","('rho.slr_gis_obs', 0.8663581609725952)"
131,"('slope_dais.slr_brick', 0.0005692894046660513)","('beta0_gsic.slr_brick', 0.0012377950479276478)","('diff.temperature', 1.6295125484466553)","('b0_dais.slr_brick', 743.9280090332031)","('nu_dais.slr_brick', 0.010023128241300583)",,,,,,,,
132,"('diff.temperature', 1.8420420289039612)","('b_anto.slr_brick', 1.965058982372284)","('beta0_gsic.slr_brick', 0.0008117113029584289)","('Tcrit_dais.slr_brick', -15.269224643707275)",,,,,,,,,
133,"('alpha.temperature', 0.7965359389781952)","('alpha.temperature', 1.152285635471344)","('gamma_dais.slr_brick', 3.029615879058838)","('b_simple.slr_brick', 7.790290594100952)","('beta_simple.slr_brick', 0.00023419058561557904)",,,,,,,,
134,"('S.temperature', 2.8726764917373657)","('alpha.temperature', 1.1963133215904236)","('gamma_dais.slr_brick', 2.3126423358917236)","('offset.Tgav_obs', 0.018116281367838383)","('b_anto.slr_brick', 0.16430091857910156)","('a_tee.slr_brick', 0.07421741262078285)","('offset.Tgav_obs', -0.031396946869790554)","('h0_dais.slr_brick', 1565.1121215820312)","('kappa_dais.slr_brick', 0.05072728730738163)",,,,
135,"('S.temperature', 3.247749447822571)","('beta0_gsic.slr_brick', 0.0009042505989782512)","('a_simple.slr_brick', -0.865126222372055)","('f0_dais.slr_brick', 0.9605818092823029)",,,,,,,,,
136,"('b_simple.slr_brick', 7.6569483280181885)","('diff.temperature', 1.655472993850708)","('P0_dais.slr_brick', 0.4349166452884674)","('sigma.Tgav_obs', 0.09439550340175629)",,,,,,,,,
137,"('S.temperature', 2.9340860843658447)","('a_simple.slr_brick', -0.7973229587078094)","('b_simple.slr_brick', 7.401698350906372)","('a_anto.slr_brick', 0.5423081517219543)","('beta0_gsic.slr_brick', 0.0006558069144375622)","('a_tee.slr_brick', 0.14958443492650986)","('beta0_gsic.slr_brick', 0.000551616249140352)","('kappa_dais.slr_brick', 0.05064352788031101)","('gamma_dais.slr_brick', 3.380366563796997)","('P0_dais.slr_brick', 0.22472050040960312)",,,
138,"('diff.temperature', 1.5173062086105347)","('alpha.temperature', 0.98816779255867)","('P0_dais.slr_brick', 0.19302521646022797)","('lambda_dais.slr_brick', 0.006905462825670838)","('gamma_dais.slr_brick', 2.2886499166488647)","('slope_dais.slr_brick', 0.000543100613867864)","('b_simple.slr_brick', 7.469239234924316)","('slope_dais.slr_brick', 0.0007058391929604113)","('c_dais.slr_brick', 117.26131439208984)","('gamma_dais.slr_brick', 3.3028286695480347)","('diff.temperature', 2.8656723499298096)",,
139,"('beta0_gsic.slr_brick', 0.0010225975420325994)","('mu_dais.slr_brick', 12.817410945892334)","('S.temperature', 3.8111060857772827)","('lambda_dais.slr_brick', 0.011808761395514011)","('a_tee.slr_brick', 0.13462797552347183)","('n_gsic.slr_brick', 0.7238642871379852)",,,,,,,
140,"('diff.temperature', 1.3315193057060242)","('alpha.temperature', 0.9989731311798096)","('alpha.temperature', 1.1602622866630554)","('slope_dais.slr_brick', 0.0005520679987967014)","('beta_simple.slr_brick', 8.942548902268754e-06)","('n_gsic.slr_brick', 0.5797091424465179)","('a_tee.slr_brick', 0.08439486473798752)","('offset.Tgav_obs', 0.010016024578362703)",,,,,
141,"('S.temperature', 3.2476333379745483)","('a_anto.slr_brick', 0.5430309176445007)","('rho.slr_gis_obs', 0.9945712089538574)","('rho.slr_gsic_obs', 0.7693193852901459)","('S.temperature', 4.268366813659668)","('beta0_gsic.slr_brick', 0.0005001683603040874)",,,,,,,
142,"('alpha.temperature', 0.9409208297729492)","('a_tee.slr_brick', 0.10040950030088425)","('rho.slr_gis_obs', 0.9751235842704773)","('P0_dais.slr_brick', 0.22465430945158005)",,,,,,,,,
143,"('alpha.temperature', 0.9097038805484772)","('slope_dais.slr_brick', 0.0005627491627819836)","('a_simple.slr_brick', -0.661994993686676)","('S.temperature', 4.152004957199097)","('b_simple.slr_brick', 7.5714051723480225)","('alpha_dais.slr_brick', 0.12131955102086067)",,,,,,,
144,"('P0_dais.slr_brick', 0.2906714379787445)","('alpha_simple.slr_brick', 0.0003577709139790386)","('S.temperature', 2.869617223739624)","('beta0_gsic.slr_brick', 0.0007793281693011522)","('a_tee.slr_brick', 0.11118785291910172)","('kappa_dais.slr_brick', 0.051401449367403984)",,,,,,,
145,"('alpha.temperature', 0.9801302850246429)","('slope_dais.slr_brick', 0.0006259765941649675)","('S.temperature', 3.5619046688079834)","('f0_dais.slr_brick', 0.7337318956851959)","('rho.slr_gis_obs', 0.9850567579269409)",,,,,,,,
146,"('S.temperature', 3.195213794708252)","('a_simple.slr_brick', -0.7973229587078094)","('beta0_gsic.slr_brick', 0.000849655014462769)","('slope_dais.slr_brick', 0.0005658591107930988)","('alpha_simple.slr_brick', 0.0007497616461478174)","('h0_dais.slr_brick', 1026.0398254394531)","('h0_dais.slr_brick', 1465.9916381835938)","('b_anto.slr_brick', 1.4266220927238464)","('S.temperature', 3.552553653717041)","('lambda_dais.slr_brick', 0.009464746806770563)",,,
147,"('alpha.temperature', 0.9898686110973358)","('rho.slr_gsic_obs', 0.7530443966388702)","('a_simple.slr_brick', -0.8764265179634094)",,,,,,,,,,
148,"('b0_dais.slr_brick', 751.6513671875)","('h0_dais.slr_brick', 1775.0266723632812)","('slope_dais.slr_brick', 0.0005754698941018432)","('beta0_gsic.slr_brick', 0.0006152440619189292)","('c_dais.slr_brick', 122.7562026977539)","('alpha.temperature', 0.8034330904483795)",,,,,,,
149,"('alpha.temperature', 0.9844864308834076)","('beta0_gsic.slr_brick', 0.0007690558559261262)","('P0_dais.slr_brick', 0.30163879692554474)",,,,,,,,,,
150,"('V0_simple.slr_brick', 7.248001575469971)","('S.temperature', 2.8117083311080933)","('a_tee.slr_brick', 0.10000403225421906)","('a_tee.slr_brick', 0.13075566291809082)","('S.temperature', 3.895851254463196)","('b_anto.slr_brick', 1.1447561383247375)",,,,,,,
151,"('gamma_dais.slr_brick', 4.18354868888855)","('a_tee.slr_brick', 0.08324756100773811)","('S.temperature', 3.247749447822571)","('alpha_simple.slr_brick', 0.0006681805825792253)","('a_simple.slr_brick', -2.29441499710083)","('rho.slr_gis_obs', 0.9706506729125977)",,,,,,,
152,"('a_tee.slr_brick', 0.0992097407579422)","('S.temperature', 2.869617223739624)","('P0_dais.slr_brick', 0.32868675887584686)","('alpha.temperature', 0.9883632063865662)","('rho.slr_gis_obs', 0.8958395421504974)","('rho.slr_gis_obs', 0.8887211084365845)","('rho.Tgav_obs', 0.5213356912136078)","('rho.slr_gis_obs', 0.8878264129161835)",,,,,
153,"('alpha.temperature', 0.9800997972488403)","('P0_dais.slr_brick', 0.24081047624349594)",,,,,,,,,,,
154,"('S.temperature', 3.2564836740493774)","('alpha_simple.slr_brick', 0.0004159135860390961)","('slope_dais.slr_brick', 0.0005714513827115297)","('a_tee.slr_brick', 0.10945458710193634)","('lambda_dais.slr_brick', 0.004097900819033384)","('alpha_dais.slr_brick', 0.07267981395125389)","('diff.temperature', 2.043387293815613)",,,,,,
155,"('diff.temperature', 1.6561397910118103)","('alpha.temperature', 0.986196905374527)","('beta0_gsic.slr_brick', 0.0008722622296772897)","('a_anto.slr_brick', 0.41688235104084015)","('f0_dais.slr_brick', 1.0109092593193054)","('a_tee.slr_brick', 0.112254798412323)","('alpha_simple.slr_brick', 0.00011315487063257024)",,,,,,
156,"('slope_dais.slr_brick', 0.0005605946353171021)","('n_gsic.slr_brick', 0.966360867023468)","('S.temperature', 2.5723886489868164)","('f0_dais.slr_brick', 1.313056468963623)","('beta0_gsic.slr_brick', 0.0006808158941566944)","('kappa_dais.slr_brick', 0.04526710882782936)","('b0_dais.slr_brick', 772.1914367675781)","('h0_dais.slr_brick', 918.9388427734375)","('b0_dais.slr_brick', 769.7760314941406)","('c_dais.slr_brick', 60.25540733337402)","('sigma.Tgav_obs', 0.09407573565840721)","('offset.Tgav_obs', -0.023395893163979053)",
157,"('diff.temperature', 1.0302926898002625)","('beta0_gsic.slr_brick', 0.0009444875759072602)","('slope_dais.slr_brick', 0.0006153435097075999)","('beta0_gsic.slr_brick', 0.0009470195509493351)","('n_gsic.slr_brick', 0.6146736741065979)","('sigma.slr_gis_obs', 0.0002049323229584843)","('V0_simple.slr_brick', 7.427659273147583)",,,,,,
158,"('beta0_gsic.slr_brick', 0.000879696337506175)","('S.temperature', 3.281310200691223)","('slope_dais.slr_brick', 0.0005994008097331971)","('n_gsic.slr_brick', 0.8039026260375977)","('sigma.Tgav_obs', 0.07565292343497276)","('sigma.slr_gis_obs', 0.00018519546574680135)","('kappa_dais.slr_brick', 0.08127060905098915)","('alpha_simple.slr_brick', 0.000557497696718201)",,,,,
