Estimator,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Depth 11,Depth 12
335,"('diff.temperature', 1.8420420289039612)","('alpha_dais.slr_brick', 0.08851286768913269)","('a_anto.slr_brick', 0.5730466842651367)","('slope_dais.slr_brick', 0.0006261969392653555)","('a_tee.slr_brick', 0.09050153195858002)","('alpha.temperature', 0.8455907106399536)","('a_tee.slr_brick', 0.15174530446529388)","('b0_dais.slr_brick', 779.4109191894531)","('alpha.temperature', 1.1894632577896118)",,,,
336,"('diff.temperature', 1.8530241250991821)","('S.temperature', 2.8722753524780273)","('a_tee.slr_brick', 0.08884202688932419)","('beta0_gsic.slr_brick', 0.0009341583936475217)","('diff.temperature', 1.8760473728179932)","('alpha.temperature', 1.1969351768493652)",,,,,,,
337,"('a_tee.slr_brick', 0.08444395288825035)","('S.temperature', 3.19510018825531)","('a_tee.slr_brick', 0.1291913464665413)","('b_simple.slr_brick', 7.5584752559661865)","('alpha.temperature', 1.0549359917640686)","('alpha_dais.slr_brick', 0.236558698117733)",,,,,,,
338,"('alpha_dais.slr_brick', 0.06448540836572647)","('diff.temperature', 0.742923378944397)","('diff.temperature', 2.96683931350708)","('alpha.temperature', 1.1602622866630554)","('V0_gsic.slr_brick', 0.32274484634399414)","('kappa_dais.slr_brick', 0.051427626982331276)","('alpha_dais.slr_brick', 0.227561354637146)","('n_gsic.slr_brick', 0.792831540107727)","('b_anto.slr_brick', 0.2970567047595978)","('gamma_dais.slr_brick', 2.888156294822693)",,,
339,"('S.temperature', 2.8485631942749023)","('Tcrit_dais.slr_brick', -14.389145374298096)","('a_tee.slr_brick', 0.08324756100773811)","('alpha.temperature', 1.1594271659851074)","('P0_dais.slr_brick', 0.29527588188648224)","('sigma.Tgav_obs', 0.09403732791543007)","('Tcrit_dais.slr_brick', -16.153315544128418)","('mu_dais.slr_brick', 11.374569416046143)","('nu_dais.slr_brick', 0.0052418638952076435)",,,,
340,"('a_simple.slr_brick', -0.9891222417354584)","('slope_dais.slr_brick', 0.0006007763440720737)","('beta0_gsic.slr_brick', 0.000794259540271014)","('gamma_dais.slr_brick', 4.150322198867798)","('Tcrit_dais.slr_brick', -14.408971309661865)","('diff.temperature', 2.609891891479492)","('Gs0_gsic.slr_brick', -0.0035007318947464228)",,,,,,
341,"('alpha.temperature', 0.9898563027381897)","('sigma.slr_gis_obs', 0.0002393312388448976)","('sigma.slr_gsic_obs', 0.00024307610874529928)","('beta0_gsic.slr_brick', 0.0009232030715793371)","('beta_simple.slr_brick', 0.000490863632876426)","('kappa_dais.slr_brick', 0.08293929323554039)","('diff.temperature', 1.4979828000068665)",,,,,,
342,"('S.temperature', 2.8726764917373657)","('a_simple.slr_brick', -0.7511648237705231)","('slope_dais.slr_brick', 0.0005692444974556565)","('rho.slr_gsic_obs', 0.7530443966388702)","('a_tee.slr_brick', 0.13656006008386612)","('nu_dais.slr_brick', 0.010854824911803007)","('a_simple.slr_brick', -1.9649673700332642)","('beta_simple.slr_brick', 8.17985892354045e-05)",,,,,
343,"('P0_dais.slr_brick', 0.2939053922891617)","('diff.temperature', 1.6292991042137146)","('a_tee.slr_brick', 0.08324756100773811)","('mu_dais.slr_brick', 11.338288307189941)","('a_anto.slr_brick', 0.4865722954273224)","('h0_dais.slr_brick', 1790.0321044921875)","('V0_gsic.slr_brick', 0.38410505652427673)","('rho.slr_gsic_obs', 0.6422537565231323)","('c_dais.slr_brick', 59.6552848815918)","('beta0_gsic.slr_brick', 0.0007565504056401551)","('b_simple.slr_brick', 7.460864067077637)","('P0_dais.slr_brick', 0.9208304584026337)","('a_simple.slr_brick', -3.4105899333953857)"
344,"('alpha_simple.slr_brick', 0.0003443684836383909)","('a_tee.slr_brick', 0.08952779322862625)","('a_anto.slr_brick', 0.49117153882980347)",,,,,,,,,,
345,"('Tcrit_dais.slr_brick', -16.200132369995117)","('S.temperature', 2.8059651851654053)","('alpha_simple.slr_brick', 0.000343657928169705)","('f0_dais.slr_brick', 1.1442724466323853)","('a_tee.slr_brick', 0.1168951541185379)","('b0_dais.slr_brick', 765.2096557617188)","('S.temperature', 5.265682220458984)","('offset.Tgav_obs', -0.025064832530915737)","('alpha.temperature', 1.1406880021095276)",,,,
346,"('alpha.temperature', 0.9898686110973358)","('alpha_simple.slr_brick', 0.0005273152783047408)","('beta0_gsic.slr_brick', 0.000583825953071937)","('P0_dais.slr_brick', 0.3011084347963333)","('sigma.slr_gsic_obs', 0.0004044530069222674)",,,,,,,,
