,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
llrll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llrlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llrr,0.0889967637540453,0.021035598705501618,0.03398058252427184,0.016181229773462782,0.012944983818770227,0.008090614886731391,0.01779935275080906,0.022653721682847898,0.009708737864077669,0.032362459546925564,0.021035598705501618,0.019417475728155338,0.008090614886731391,0.022653721682847898,0.012944983818770227,0.014563106796116505,0.003236245954692557,0.006472491909385114,0.006472491909385114,0.009708737864077669,0.01779935275080906,0.009708737864077669,0.022653721682847898,0.011326860841423949,0.024271844660194174,0.014563106796116505,0.022653721682847898,0.012944983818770227,0.012944983818770227,0.009708737864077669,0.008090614886731391,0.011326860841423949,0.025889967637540454,0.019417475728155338,0.05016181229773463,0.0,0.0,0.0,0.33818770226537215
llrrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llrrr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lr,0.252,0.024,0.106,0.002,0.001,0.003,0.004,0.011,0.007,0.019,0.014,0.016,0.0,0.006,0.003,0.003,0.001,0.001,0.003,0.007,0.008,0.005,0.009,0.002,0.004,0.002,0.074,0.004,0.008,0.0,0.006,0.003,0.029,0.048,0.292,0.0,0.0,0.0,0.023
lrl,0.13203684749232344,0.01842374616171955,0.03991811668372569,0.01023541453428864,0.007164790174002047,0.011258955987717503,0.011258955987717503,0.015353121801432957,0.01023541453428864,0.027635619242579325,0.01023541453428864,0.01330603889457523,0.006141248720573183,0.033776867963152504,0.01023541453428864,0.01023541453428864,0.00511770726714432,0.01023541453428864,0.00511770726714432,0.007164790174002047,0.00511770726714432,0.012282497441146366,0.012282497441146366,0.006141248720573183,0.006141248720573183,0.009211873080859774,0.0255885363357216,0.006141248720573183,0.008188331627430911,0.011258955987717503,0.007164790174002047,0.006141248720573183,0.02354145342886387,0.02968270214943705,0.13101330603889458,0.0,0.0,0.0,0.30501535312180145
lrll,0.07511045655375552,0.016200294550810016,0.017673048600883652,0.011782032400589101,0.014727540500736377,0.014727540500736377,0.007363770250368188,0.014727540500736377,0.014727540500736377,0.011782032400589101,0.01914580265095729,0.014727540500736377,0.016200294550810016,0.017673048600883652,0.014727540500736377,0.008836524300441826,0.020618556701030927,0.005891016200294551,0.011782032400589101,0.008836524300441826,0.007363770250368188,0.008836524300441826,0.014727540500736377,0.017673048600883652,0.008836524300441826,0.008836524300441826,0.023564064801178203,0.007363770250368188,0.008836524300441826,0.013254786450662739,0.01914580265095729,0.017673048600883652,0.007363770250368188,0.011782032400589101,0.08247422680412371,0.0,0.0,0.0,0.4050073637702504
lrlll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lrllr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
